id	name	canonical_uuid	canonical	surrogate
000060fc-ba96-5623-8e26-4c7ab02a808f	Gigartina sp. 2	49257527-5453-5826-96bc-c9571732e169	Gigartina	true
00006103-d95d-540f-a335-4b393a4440ff	Peixotoa psilophylla C. E. Anderson, 1982	3d91af3b-58da-5f32-8f0b-4c48692085ca	Peixotoa psilophylla	false
00006134-6cb5-50dd-8e55-6f633433d3e4	Alphitomorpha urticae Wallr. 1819	e106c59a-f7d6-56c6-a56e-ecaa2df007bb	Alphitomorpha urticae	false
000061e6-7073-547c-9800-3fcce55c5f3b	Haroldiellus lansbergei (Harold 1874)	3ef3f21f-11f9-58d2-ab23-22b0d476dbf2	Haroldiellus lansbergei	false
0000620a-b66c-5b7f-ac4d-22858ee1cf5a	Bucklandiopsis G. Roselt, 1960	47283a49-33a8-5036-8e28-5c7bab1f9918	Bucklandiopsis	false
00006252-317e-5bdd-a0a5-246d43edc8db	Eurytoma tomici	00006252-317e-5bdd-a0a5-246d43edc8db	Eurytoma tomici	false
00006315-7d3e-5912-bede-2bf8fb073dfe	Lepiota acutesquamosa var. furcata	4cc1b4ca-6648-5bc6-a07d-83ba41dd157a	Lepiota acutesquamosa furcata	false
00006320-cce7-5088-a2ee-06fd0350371b	Octopus lunulatus Q. & G.	6cdab351-7e52-5fa7-ae3c-9a4df78b1057	Octopus lunulatus	false
00006391-652c-5409-a713-27a0ee235353	Geonoma pohliana subsp. wittigiana (Glaz. ex Drude) A.J.Hend.	a4aa8870-f1ae-54a9-a138-5fbe381fdc33	Geonoma pohliana wittigiana	false
0000640d-d43f-5f85-a0b2-c082b1c71a71	Rondeletia guettardioides (Standl. ex Steyerm.) ined.	7d62cc72-8bd4-515e-bf43-9274eae7f71e	Rondeletia guettardioides	false
0000646a-1eaf-5221-8bbb-cafa79b2baf6	Anomalocera subopaca vuilleti (Bourgoin 1913)	2e4e78e7-fb8a-51db-8982-a945ef58e517	Anomalocera subopaca vuilleti	false
000064d7-3840-5166-b316-2122adbc6255	Ancylocera Mik 1866	9a7c172e-4e91-5686-8463-aedb8fd53c9d	Ancylocera	false
0000654f-215c-5670-93d7-ca2540a1181d	Plectranthus porpeodon Baker in Dyer	54c99a34-7f34-532d-b30c-3ab3a12d078d	Plectranthus porpeodon	false
00006560-1e1e-555d-a62d-b60a98fdd8b5	Neckera sect. Cryptopodia Röhl.	9b525204-22c2-5df3-be02-174329727164	Cryptopodia	false
000065a1-3660-5c8e-aa6c-6f34ed2337be	Wyomomys bridgeri	000065a1-3660-5c8e-aa6c-6f34ed2337be	Wyomomys bridgeri	false
000065ea-d9cc-5dbd-b54f-42910b32131d	Triakis Müller & Henle 1838 sec. Gray 1851	8c348354-5f17-5ea8-b517-421bd127cf14	Triakis	false
0000665d-cafd-5dd9-b444-2e379baaa389	Scaevola amboinensis	0000665d-cafd-5dd9-b444-2e379baaa389	Scaevola amboinensis	false
00006703-d77b-53eb-962b-fedb951bb932	Sarcophaga schoemani Zumpt, 1951	d94fb2f0-33d6-534a-9c65-09b126f04f53	Sarcophaga schoemani	false
00006764-6e89-5357-8538-37e8a7f46b8b	Sorbaronia fallax C.K.Schneid.	14814f88-82e1-538f-a4ec-0687381cb33a	Sorbaronia fallax	false
00006796-fb4e-5f08-af48-a4efba7e82ca	Inocybe sp. TR138-05	374284bd-a541-5897-a38d-db8a50cefcac	Inocybe	true
0000696b-52c3-52ee-9c96-d7bc0906e547	Polycope riegrafi	0000696b-52c3-52ee-9c96-d7bc0906e547	Polycope riegrafi	false
00006b10-df4a-5e96-87f7-67f21305b78a	Medetera sphaeropyga	00006b10-df4a-5e96-87f7-67f21305b78a	Medetera sphaeropyga	false
00006bb8-7a45-5f63-a2f4-26483935f8dc	Astragalus missouriensis cuspidocarpus	00006bb8-7a45-5f63-a2f4-26483935f8dc	Astragalus missouriensis cuspidocarpus	false
00006bc9-1ad4-5e08-a836-9f04f85b9d0a	Peltoides pustulosus Fairmaire LMH 1894	c9777397-c315-5ebc-93f5-5362e175f060	Peltoides pustulosus	false
00006bd2-8da5-579c-a030-430575db245a	Hypomeces orientalis Desbr. d. Loges, 1892	69799000-c9eb-527b-bc42-1408e94f2868	Hypomeces orientalis	false
00006bf0-65ab-5273-be15-81f0a98523f4	Onthophagus andersoni HOWDEN & GILL, 1987	aed83c82-9f31-534a-bf2c-a8ff978a0f0c	Onthophagus andersoni	false
00006c66-0bdf-5148-98cb-8e780221594b	Mastacembelus stappersii	00006c66-0bdf-5148-98cb-8e780221594b	Mastacembelus stappersii	false
00006d0a-2fba-57d7-b446-cb1bd394d403	Amphoroceras Ulrich & Foerste, 1935	73f5433b-68b3-5250-b5b0-f3272b9836fc	Amphoroceras	false
00006da7-ca00-590b-9e93-d69045f5719f	Etroxys (Habrocytus) bedeguaris Thomson, 1878	93fd825f-6669-5222-9129-6ffc33bf3e23	Etroxys bedeguaris	false
00006dff-9d1a-585b-bcb7-79a404f4a247	Cleisostoma bilamellatum	00006dff-9d1a-585b-bcb7-79a404f4a247	Cleisostoma bilamellatum	false
00006ea8-0366-5ad4-9d8d-60ffbdbce8b6	Polynemus Linnaeus 1758 sec. Bennett 1831	171d9dda-e785-55b3-abd9-07d26e5ddab6	Polynemus	false
00007121-823e-5ead-a11f-2318f8c61273	Crepidiastrum denticulatum (Houtt.) Pak & Kawano f. pallescens (Momiy. & Tuyama) Yonek.	6cdaca3f-3ed2-5884-a7ca-db8b05ed5587	Crepidiastrum denticulatum pallescens	false
000071bb-8cfa-5e54-8469-e121091f8061	Pyrausta vicarialis Snellen 1875	1b27aa79-5e11-5e54-b203-f25623d750aa	Pyrausta vicarialis	false
000074dd-c692-50da-9603-f6a5f395b815	Pupascleromyia murajevi Fedotova 2001	0ae4a834-e3ce-5e8a-bcd3-3cecde47390e	Pupascleromyia murajevi	false
00007548-f624-5c8b-9fa2-6d0dd708f041	Arsenura biundulata Schaus 1906	07a1f911-18b5-5da8-adb0-dcbd9836e8d6	Arsenura biundulata	false
00007559-fde2-59b0-a0c8-f70cb57146fe	Micantapex	00007559-fde2-59b0-a0c8-f70cb57146fe	Micantapex	false
